"","Variables","Accuracy","Kappa","AccuracySD","KappaSD"
"132",132,0.186666666666667,-0.57,0.217931941361884,0.438108177862733
"133",133,0.168333333333333,-0.616,0.191581613781775,0.366093553338376
"134",134,0.185,-0.58,0.181554449520219,0.352252228741084
"135",135,0.2,-0.552,0.222717701593687,0.41514197227317
"136",136,0.203333333333333,-0.554,0.196453822330822,0.368787312190445
"137",137,0.18,-0.596,0.195150967783297,0.357976170681109
"138",138,0.183333333333333,-0.572,0.216260739578392,0.424283309276493
"139",139,0.18,-0.584,0.226102739876349,0.426356179545617
"140",140,0.168333333333333,-0.626,0.191581613781775,0.355602392039887
"141",141,0.161666666666667,-0.618,0.203017207139094,0.377256476391846
"142",142,0.195,-0.552,0.229986936432714,0.43903419047742
"143",143,0.17,-0.596,0.208900588276608,0.423281640209891
"144",144,0.175,-0.596,0.213789107096047,0.423281640209891
"145",145,0.178333333333333,-0.594,0.191226201963696,0.337100481598406
"146",146,0.161666666666667,-0.624,0.184742573853739,0.360589087183623
"147",147,0.183333333333333,-0.572,0.222080453644972,0.436142646577086
"148",148,0.166666666666667,-0.616,0.221441371877837,0.43016845300322
"149",149,0.198333333333333,-0.56,0.225807947213873,0.433777898591114
"150",150,0.161666666666667,-0.62,0.215216233613741,0.41057451037714
"151",151,0.183333333333333,-0.59,0.2246185983823,0.434365594157451
"152",152,0.193333333333333,-0.552,0.213251472389267,0.41514197227317
"153",153,0.208333333333333,-0.54,0.222239936935648,0.424264068711929
"154",154,0.181666666666667,-0.568,0.215400539206032,0.421096721644317
"155",155,0.178333333333333,-0.578,0.222086835175516,0.425364189698135
"156",156,0.173333333333333,-0.614,0.210845399079338,0.420403110728506
"157",157,0.153333333333333,-0.636,0.187748323844917,0.37294197174053
"158",158,0.195,-0.552,0.191670363762036,0.386633824549423
"159",159,0.208333333333333,-0.55,0.216424511460689,0.404691870691866
"160",160,0.161666666666667,-0.622,0.191522424280468,0.366611622337117
"161",161,0.171666666666667,-0.598,0.211898073730729,0.408826094458517
"162",162,0.185,-0.572,0.188449034353463,0.383347234293944
"163",163,0.186666666666667,-0.57,0.21199837418621,0.426303523182194
"164",164,0.198333333333333,-0.556,0.188899726246397,0.352344914502126
"165",165,0.18,-0.58,0.192224122780375,0.368671082873255
"166",166,0.183333333333333,-0.582,0.205508053590858,0.377797051662527
"167",167,0.15,-0.64,0.185194633167905,0.364215679542342
"168",168,0.185,-0.576,0.217104476557939,0.427407944498471
"169",169,0.186666666666667,-0.572,0.191633389598656,0.359160017773898
"170",170,0.216666666666667,-0.51,0.21295885499998,0.420034012228262
"171",171,0.17,-0.602,0.192665984039466,0.396149837659377
"172",172,0.181666666666667,-0.592,0.202513961893754,0.392189042297154
"173",173,0.203333333333333,-0.534,0.213729436692383,0.434534703059796
"174",174,0.19,-0.566,0.215630699668335,0.423112857043979
"175",175,0.181666666666667,-0.596,0.229419310335134,0.435168276154672
"176",176,0.176666666666667,-0.578,0.216679748427685,0.425364189698135
"177",177,0.216666666666667,-0.508,0.221441371877837,0.445311173019863
"178",178,0.176666666666667,-0.604,0.192430450963588,0.378482469332249
"179",179,0.176666666666667,-0.576,0.175481197835126,0.362845894088858
"180",180,0.18,-0.586,0.212532510518299,0.41943110158832
"181",181,0.188333333333333,-0.566,0.199069547664268,0.385243098442995
"182",182,0.17,-0.598,0.188200693765424,0.355418695315246
"183",183,0.168333333333333,-0.598,0.191581613781775,0.393046707511606
"184",184,0.196666666666667,-0.566,0.225097610472352,0.423112857043979
"185",185,0.185,-0.596,0.200120428594991,0.357976170681109
"186",186,0.161666666666667,-0.61,0.200205393400091,0.371016254663444
"187",187,0.18,-0.59,0.202982299866163,0.397569144287878
"188",188,0.185,-0.576,0.222902162729884,0.439182914800953
"189",189,0.173333333333333,-0.592,0.206773068944716,0.408001600637116
"190",190,0.193333333333333,-0.542,0.224896045524409,0.445883667449212
"191",191,0.185,-0.576,0.222902162729884,0.439182914800953
"192",192,0.175,-0.574,0.22160131510698,0.43415881604664
"193",193,0.175,-0.6,0.191403990366828,0.375255015330391
"194",194,0.195,-0.574,0.222469392019414,0.429432468378858
"195",195,0.148333333333333,-0.644,0.197267329005516,0.370416202757528
"196",196,0.16,-0.628,0.203317162287707,0.380676090284491
"197",197,0.206666666666667,-0.544,0.195063801412038,0.376969657199329
"198",198,0.183333333333333,-0.596,0.194160790836906,0.357976170681109
"199",199,0.18,-0.588,0.207812273562184,0.401852851533636
"200",200,0.166666666666667,-0.614,0.19047619047619,0.370884216489211
"201",201,0.181666666666667,-0.59,0.196114467476883,0.371016254663444
"202",202,0.171666666666667,-0.612,0.189289457884514,0.348548008580905
"203",203,0.175,-0.61,0.204297646449173,0.392402334137725
"204",204,0.181666666666667,-0.574,0.236716244687318,0.445755492600678
"205",205,0.19,-0.566,0.215630699668335,0.423112857043979
"206",206,0.193333333333333,-0.542,0.207183903979115,0.410121933088198
"207",207,0.175,-0.586,0.213789107096047,0.431423841033669
"208",208,0.173333333333333,-0.598,0.228893622124849,0.433066898729873
"209",209,0.188333333333333,-0.57,0.223232538936216,0.438108177862733
"210",210,0.183333333333333,-0.572,0.216260739578392,0.424283309276493
"211",211,0.181666666666667,-0.59,0.219312727771003,0.434365594157451
"212",212,0.188333333333333,-0.586,0.199069547664268,0.367567847409127
"213",213,0.155,-0.634,0.213629948981974,0.406884629890116
"214",214,0.166666666666667,-0.612,0.19047619047619,0.362890887069884
"215",215,0.17,-0.606,0.208900588276608,0.414733747882486
"216",216,0.188333333333333,-0.564,0.203992185613526,0.389536616392097
"217",217,0.178333333333333,-0.602,0.206889555033258,0.372794192825051
